category,question,answer
"Install, launch, and game update",Mods problems: launch in safe mode,"World of Warships can be customized with mods. However, mods can malfunction, especially after an update or patch.

Should a modded game misbehave, do the following:
Make sure all your mods are up to date.
Start the game in Safe Mode (without mods).
Delete all mods.
Mods folder: World_of_Warships\bin\3052606\res_mods\
Accounts using unfair mods or unauthorized third-party software will receive a penalty.
If you are in doubt as to whether any modification is a cheat or not, visit the Mod Policy (https://worldofwarships.com/en/news/general-news/mod-ern-parts/?_gl=1*shnuo*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjA4MDIuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.)."
Network settings,Cookies and Their Use,"What are cookies and what are they used for?

A cookie is a small piece of data sent by a web server and stored on your computer. Every time your web browser tries to open a page of a desired website, it sends this piece of data to the web server as part of an HTTP request.

Cookies are commonly used for:

User authentication
Storage of personal preferences and user settings
Tracking the status of a user's access session
User statistics
While cookies don't directly identify you, you can still opt out of their use. However, you should understand that blocking certain types of cookies may affect your website experience and limit your ability to use some websites.

How to return the display of cookie settings on our website

When you first visit the website of our game or Player Support, you'll see a panel with information about cookies at the bottom of the screen, as well as the option to enable or disable their use.

Once you've selected the desired action, the panel is no longer displayed. However, a situation may arise where you want to return the display of your cookie settings.

To do so, you need to delete the cookies for the worldofwarships.na website in your browser."
Network settings,DNS server address is not found,"If you're unable to update or install World of Tanks, you may be encountering a DNS issue from your Internet service provider (ISP). This article will help you to address these issues.  

For World of Tanks: dl-wot-gc.wargaming.net
Flush your DNS Cache
Try changing your DNS server to Google Public DNS
Before you change your DNS settings to use Google Public DNS, be sure to write down the current server addresses or settings. It is very important that you keep these numbers for backup purposes, in case you need to revert to them at any time.

Google Public DNS IP addresses:
The Google Public DNS IP addresses (IPv4) are as follows:

8.8.8.8
8.8.4.4
The Google Public DNS IPv6 addresses are as follows:

2001:4860:4860::8888
2001:4860:4860::8844
You can use either address as your primary or secondary DNS server. You can specify both addresses, but do not specify the same address as both primary and secondary.

You can configure Google Public DNS addresses for either IPv4 or IPv6 connections, or both. For IPv6-only networks with a NAT64 gateway using the 64:ff9b::/96 prefix, you can use Google Public DNS64 instead of Google Public DNS IPv6 addresses, providing connectivity to IPv4-only services without any other configuration.

Some devices use separate fields for all eight parts of IPv6 addresses and cannot accept the :: IPv6 abbreviation syntax. For such fields enter:

2001:4860:4860:0:0:0:0:8888
2001:4860:4860:0:0:0:0:8844
Windows:
The instructions may differ between different versions/releases of each operating system, we will only give one version as an example. If you need specific instructions for your operating system/version, please consult your vendor's documentation
Example: Windows 7

Go to the Control Panel
Click Network and Internet -> Network and Sharing Center -> Change Adapter Settings
Select the connection for which you want to configure Google Public DNS. For example:
To change the settings for an Ethernet connection, right-click Local Area Connection -> Properties
To change the settings for a wireless connection, right-click Wireless Network Connection -> Properties
Select the Networking tab. Select Internet Protocol Version 4 (TCP/IPv4) or Internet Protocol Version 6 (TCP/IPv6) and then click Properties
Click Advanced and select the DNS tab. If there are any DNS server IP addresses listed there, write them down for future reference, and remove them from this window
Click OK
Select ""Use the following DNS server addresses"". If there are any IP addresses listed in the Preferred DNS server or Alternate DNS server, write them down for future reference
Replace those addresses with the IP addresses of the Google DNS servers:
For IPv4: 8.8.8.8 and/or 8.8.4.4.
For IPv6: 2001:4860:4860::8888 and/or 2001:4860:4860::8844.
For IPv6-only: you can use Google Public DNS64 instead of the IPv6 addresses in the previous point
Restart the connection you selected in step 3
Test that your setup is working correctly
Repeat the procedure for additional network connections that you want to change"
Network settings,How can I check my connection using Wireshark?,"Wireshark is a popular network protocol analyzer. You can use it to check your internet connection in case of problems with authorization, or if you get randomly kicked out of battle, or if you experience other technical issues.

To check your connection, follow the instructions below:

Download Wireshark from the official website (https://www.wireshark.org/#download) and install it.
Launch Wireshark. In the main window of the program, select the connection for packet capturing and click ""Capture.""
In the window that opens, click ""Start."" The program will start capturing all packets for your selected connection.
Launch the game client. If you have encountered a problem with authorization, or the game has disconnected from the servers, or if you have been randomly kicked out of battle, then stop the capture. To do that, click on the red button in the top-left corner of the Wireshark window.
To save the captured data, navigate to the ""File"" menu and click the ""Save"" button. The program will also prompt you to save any captured data if you suspend capture and then decide to resume it.
After clicking the ""Save"" button, select where you want the data file to be saved and give it a name.
To resume packet capturing, click the blue button in the top-left corner of the Wireshark window.
When submitting a ticket to Player Support, please include the following information:
The type of your internet connection.
Whether you are on a fixed line or mobile internet connection.
Your internet service provider or mobile network operator.
Your place of residence (city/town).
The file with data captured using Wireshark should be attached to your ticket (https://ru.wargaming.net/support/ru/products/wows/article/21791/?_gl=1*13l5nkc*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjA5NjkuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.190077929.317960896.1714659473-1231894077.1707424508)."
Network settings,Opening ports in Windows Firewall,"Before setting up Windows Firewall, make sure you have administrator rights.

To go to Firewall settings, click Start, open the Control Panel, then click Windows Firewall (or press Win + R, type firewall.cpl, and click ОК. This method works for all Windows versions and will suit those users who don't have the Start button in their version of Windows.)
Click Advanced Settings.
In the left column, click Inbound Rules.
In the right column, click New Rule.
In the pop-up window, select the Port rule and click Next.
Select the required protocol: TCP or UDP.
In the Specific local ports field, enter the required ports. If there are several ports, separate them with a comma or specify the port range using a dash. The list of required ports for World of Warships can be found here (https://ru.wargaming.net/support/kb/articles/666?_gl=1*1jcypua*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjEwMjguMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.223640793.317960896.1714659473-1231894077.1707424508). After you have entered all ports, click Next.
Select Allow the connection and click Next.
Select the desired connection profiles and click Next.
Specify the name of the created rule and add a description, if necessary. Then click Finish to save the changes.
Similarly, create Outbound Rules by specifying the same port ranges as described in steps 4–10. "
Network settings,Pingplotter: connection check,"When WGCheck Network Diagnostics is unavailable, you may use a Pingplotter to generate a report and contact our Player Support team about a connection issue.

PingPlotter tests your network for high latency and packet loss and generates understandable reports.

How can I check my connection?
Download Pingplotter Free from HERE (https://www.pingplotter.com/products/free.html)
Please make sure no network-hungry programs are running
e.g. P2P torrent downloads, Skype, Web browser, etc.
Launch PingPlotter
Write the name of the game server in [Enter target name or IP]
Set [interval] to 10 seconds
Click [Play]
Let it run for at least 30 minutes and click [Pause] to check the results timeline
Share the results by pressing File > Share > Create Share Page.
Copy the link to this page into your reply.
Lastly, please go to www.whatismyip.com and send us your IP Address as displayed in the page.

The following are World of Warships Target Addresses for NA:
NA_1: login1.worldofwarships.com
NA_2: login2.worldofwarships.com"
Network settings,What can I do to resolve my connection issues?,"The most common causes of connection issues are firewalls or antivirus programs blocking access to our games.

Please try all these steps before contacting support.

Power Cycle Hardware:
Turn off and unplug all of your network devices. This includes all modem and/or network switches/routers - and if they have a battery, please remove the battery.
Turn off your computer.
Leave them all off for 30-40 seconds.
Turn all of your devices back on and give them a few minutes to initialize and update.
Clear your internet browser cache.
Flush DNS:
Press the windows key + R to open your run dialog (or start menu > run)
Enter the exact command: ipconfig /flushdns
Press enter
You must have administrative privileges to complete this action

Antivirus Exceptions:
Make sure that you have added the following executable(s) to your Antivirus program's exception/allowed list:

World of Tanks:
WorldOfTanks.exe
World of Warships:
WorldOfWarships.exe
World of Warplanes:
WorldOfWarplanes.exe
Firewall Exceptions:
Make sure that you have added the following executables to your Firewall's exception/allowed list:

World of Tanks:
WorldOfTanks.exe
World of Warships:
WorldOfWarships.exe
World of Warplanes:
WorldOfWarplanes.exe.
Admin Privileges:
Right click on the launcher for your game:
WorldOfTanks.exe for World of Tanks
WorldOfWarships.exe for World of Warships
WorldOfWarplanes.exe for World of Warplanes
Select Properties.
Navigate to the Compatibility Tab
Check ""Run as Administrator""
Click Apply and OK
Router Porting:
You may have to open some ports in order for the games to properly function. To configure your router you might use http://portforward.com/ as reference, it contains detailed info on how to set up ports on almost any router.

All destination UDP ports: 12000-43000, 5060, 5062, 3478, 3479,
TCP game ports: 2200, 80, 8080, 443, 5222, 5223, 5333, 3306, 8886, 5672, 15672
UDP voice chat ports: 12000-29999, 5060, 5062, 3478, 3479
If your issue still persists, please send us a PingPlotter report."
Diagnostics and computer settings,How to find your video card model,"Press Windows + R.
Write DxDiag and click OK.
Click the Display tab.
Your video card's name and manufacturer should appear.
Nvidia"
Diagnostics and computer settings,Nvidia: How to reset the driver settings,"Corrupted or wrong video card settings can affect the games performance and your computer's ability to display graphics correctly.

Follow these steps:
Right-click on your desktop and select NVIDIA Control Panel.
Go to 3D Settings > Manage 3D Settings.
On the upper-right corner, click Restore Defaults.
Click Yes."
Diagnostics and computer settings,Nvidia: How to download and install a new driver,"Before updating the Driver, it's recommended to uninstall the previous version first. This also applies when removing an older graphics card and replacing it with a newer card.

Follow these steps:
Visit Nvidia website (http://www.nvidia.com/drivers).
Select your video card name and your Operating System.
Press the button Search.
Download the driver.
Open the *.exe you just downloaded and follow the displayed steps to install.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,"Nvidia: How to perform a ""clean installation"" of a new driver","In some cases it is recommended to perform a ""clean installation"" of the driver. This will reset all the driver settings, which might help resolve your technical problem.

Follow these steps:
Visit Nvidia website (http://www.nvidia.com/drivers).
Select your video card name and your Operating System.
Press the button Search.
Download the driver.
Open the *.exe you just downloaded.
Accept the License Agreement.
In the installation options, select ""Custom installation"" (""Advanced options"") and click on the ""Next"" button.
In the custom installation options, check the ""Perform a clean installation"" box and click on the ""Next"" button.
After installation is complete, restart your computer.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,Nvidia: How to uninstall the driver,"Go into your Control Panel
Double-click the Add/Remove Programs icon
Select the NVIDIA Windows Display Drivers from the list of programs.
Click Change/Remove or Add/Remove button.
Confirm with Windows that you wish to continue with the uninstall
More information on Nvidia website (https://nvidia.custhelp.com/app/answers/detail/a_id/10/~/how-do-i-uninstall-my-nvidia-display-drivers-on-a-microsoft-windows-based-pc%3F)."
Diagnostics and computer settings,AMD/ATI: How to reset the driver settings,"Corrupted or wrong video card settings can affect the games performance and your computer's ability to display graphics correctly.
Follow these steps:
Right-click on your desktop and select AMD Radeon Settings.
Old video cards will display Catalyst Control Center
Click the Preferences tab.
Select Restore Factory Defaults."
Diagnostics and computer settings,AMD/ATI: How to download and install a new driver,"Before updating the Driver, it's recommended to uninstall the previous version first. This also applies when removing an older graphics card and replacing it with a newer card.

Follow these steps:
Visit AMD/ATI (http://www.amd.com/drivers).
Select your video and your Operating System.
Press the button Display Results.
Download the driver.
Open the *.exe you just downloaded and follow the displayed steps to install.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,AMD/ATI: How to uninstall the driver,"Go into your Control Panel
Double-click the Add/Remove Programs icon
Select the AMD Catalyst Install Driver from the list of programs.
Click Change/Remove or Add/Remove button.
Confirm with Windows that you wish to continue with the uninstall
More information on AMD website (https://support.amd.com/en-us/kb-articles/Pages/GPU57RemoveOldGraphicsDrivers.aspx)."
Diagnostics and computer settings,Intel Driver:,Visit Intel Driver Support (https://downloadcenter.intel.com/product/80939/Graphics-Drivers).
Diagnostics and computer settings,"Blue Screen of Death (BSOD), PC crash or restart","A blue screen error (also called a stop error) can occur if a problem causes your device to shut down or restart unexpectedly.

It doesn't happen often, but there may be a time when something goes wrong and your device will display a black or blank screen. Some of the common scenarios that can cause this to occur are connection problems with your display, display adapter, driver update issues, or issues with recent updates or installations.

Potential solutions
Windows 10 https://support.microsoft.com/en-us/help/14238/
Windows 8 and 8.1 https://support.microsoft.com/en-us/help/17075/
Windows 7 https://support.microsoft.com/en-us/help/17074/

Find more help on the Microsoft Windows Support Portal (https://support.microsoft.com/en-us/products/windows?os=windows-10)."
Diagnostics and computer settings,"
Critical Error Occurred - Out of memory crash","Why this happens
World of Warships uses quite a bit of your Volatile memory, commonly called RAM.

x86 OS (Windows XP 32bit, Windows Vista 32bit, Windows 7 32bit), have a maximum allowed virtual address space for an application of 2 GB RAM.
x64 OS have a maximum allowed virtual address space for an application of 4 GB RAM.
Computers with a low amount of RAM available may face issues to run the game reliably.

How this happens
You start the game and it loads from your Hard Drive to your RAM.
You play a few battles and your RAM starts filling up.
Your Computer runs out of free RAM space and the game crashes.
About: Windows and Memory limits (https://msdn.microsoft.com/en-us/library/windows/desktop/aa366778(v=vs.85).aspx)
An error looking like ""BigWorld Client has encountered an unhandled exception and must close (EXCEPTION: 0xE06D763 @ 0x75DA845D) 0
How to resolve this issue
Verify your computer meets the minimum requirements (https://eu.wargaming.net/support/en/products/wows/articles/105/?_gl=1*1m1z7d0*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_X6LVGM3JP2*MTcxNDY5NDY0MS4xNS4xLjE3MTQ2OTQ3MzcuMC4wLjE4Njc1MDcyNDY.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.*_ga_BWRKLL4HR5*MTcxNDY5NDY0MS4xNi4xLjE3MTQ2OTQ3MzcuMC4wLjE5MzAzNDE2MjA.&_ga=2.97580893.317960896.1714659473-1231894077.1707424508). See amount of RAM required.
Run the game in safe mode (https://eu.wargaming.net/support/en/products/wows/articles/67/?_gl=1*1m1z7d0*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_X6LVGM3JP2*MTcxNDY5NDY0MS4xNS4xLjE3MTQ2OTQ3MzcuMC4wLjE4Njc1MDcyNDY.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.*_ga_BWRKLL4HR5*MTcxNDY5NDY0MS4xNi4xLjE3MTQ2OTQ3MzcuMC4wLjE5MzAzNDE2MjA.&_ga=2.97580893.317960896.1714659473-1231894077.1707424508), with no mods.
Should your computer have installed more than 3GB of RAM, you may want to consider an OS upgrade to x64
x86 / 32 bits OS can only allocate 2GB of RAM per active application. x64 can allocate 4GB.
Refer to an IT Specialist before upgrading your OS.
AT YOUR OWN RISK - Alternative Solutions
Guide based on: Microsoft 4GT Virtual address Tuning (https://msdn.microsoft.com/ru-ru/library/windows/desktop/bb613473(v=vs.85).aspx).

Increasing the virtual address space for the process on Windows 7, 8, 8.1, 10 x86
Run command line with administrator privileges:
Open Start menu and type cmd
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /set increaseuserva 3072
Reboot your computer.
Verify increase of virtual address space
Run command line with administrator privileges:
Open Start menu and type cmd,
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /enum | find ""increaseuserva""
If optimization flag exists you will be provided the following output:
increaseuserva 3072
Rollback increase of virtual address space
Run command line with administrator privileges:
Open Start menu and type cmd,
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /deletevalue increaseuserva
Reboot computer"
Diagnostics and computer settings,"DirectX Errors: D3Dx9_43.dll, d3dx10_43.dll, ...","DirectX is a set of components in Windows that allows software, primarily and especially games, to work directly with your video and audio hardware.
DirectX errors relate to missing or corrupted DLL files. When this happens, the game will crash or won't start.

How to fix DirectX errors
Check this article (https://support.microsoft.com/en-us/help/179113/how-to-install-the-latest-version-of-directx) from Microsoft.
Make sure you have the latest video card drivers:
NVIDIA (http://www.nvidia.com/Download/index.aspx?)
AMD/ATI (http://support.amd.com/en-us/download)
Intel (https://downloadcenter.intel.com/)"
Diagnostics and computer settings,Discontinuation of macOS Support,"Captains!

World of Warships is constantly evolving, with new ships and maps appearing in the game on a regular basis. We also add a lot of other content, such as new technologies intended to boost performance and enhance the quality of the audio and graphics.

In order to maintain that level of productivity, we unfortunately have to cease support for macOS.

The popularity of this operating system (OS) is quite low among our players. Aside from that, this OS has a number of specific features that take a lot of time and effort to manage on the part of our Dev Team. This has a negative impact on game development and hampers our ability to add new content and improvements. Bearing all these factors in mind, we've decided to cease support for macOS.

We're informing you in advance of these planned changes. We apologize for any inconvenience caused and thank you for your understanding. We would also like to share a couple of possible options that might allow macOS players to continue enjoying World of Warships:

World of Warships is available via GeForce NOW. For more info, go to https://www.nvidia.com/geforce-now/
Players with macOS can try using Boot Camp to launch the Windows operating system on their device and play World of Warships. For more info, navigate to https://support.apple.com/HT201468. Please note: Boot Camp is not officially supported by Wargaming, and we do not guarantee that World of Warships will run correctly when using it."
Diagnostics and computer settings,MacOS wrapper client crashes,"The World of Warships wrapper should identify your graphics card make & model on launch and inform the game of how much video memory is available. This prevents the game from trying to load, or not cleanup often enough, too many graphical assets. However if the wrapper doesn't detect the graphic card's available memory correctly this can lead to World of Warships freezing up after a number of battles or lengthy play.

You can manually set the amount of available video memory by launching World of Warships and just as it first launches under the File menu choose Run Command. In the Run Command window enter regedit and run.

Once the Registry Editor comes up, browse to HKEY_CURRENT_USER/Software/Wine/Direct3D and in Direct3D right-click and add a new string value called VideoMemorySize and set it to 512.

If the Direct3D folder doesn't exist, right-click on the Wine folder, New Key, and rename it Direct3D

Now try to run the game again."
Diagnostics and computer settings,How to create a WGCheck report,"WGCheck is a tool that checks the game files' integrity and can generate a technical report about your computer and connection: DxDiag report, active processes, installed applications, and Network Diagnostics. This report will help Player Support to help you.

Technical Report
Download WGCheck (https://dl-support.gcdn.co/wot/ru/wgcheck/WGCheck_NA.zip).
Game Center (wgc:LS1pbnN0YWxsIC1nIFdHQ0hLLkVVLlBST0RVQ1RJT05AaHR0cHM6Ly93Z3VzLWV1LndhcmdhbWluZy5uZXQv) WGCheck installer.
Extract the contents of the zip file and place it in a folder of your choice (e.g. Desktop)
Launch WGCheck.
Wargaming games will appear in the upper menu. If WOWS is not found, click ADD GAME and find WorldOfWarships Application.
Select World of Warships on the tab menu. Verify the client and click Enable extended dump generation.
Check both Add game client to firewall exceptions and Extended network diagnostics (optional) and click Check.
The progress bar will display the checking status.
Should damaged files be found, a recovery option will appear. Press Recovery to fix the issue.
This will initiate the download and recovery of damaged files.
After the checking process is complete, click Report.
Click Go to report. A window to the game folder will open. You can find the report there.
Should the game crash after Dump generation is enabled, a crash report will be generated inside the World_of_Warships subfolder Reports.
Attach the report/s in your ticket for Player Support.
Crash dumps can exceed attachment limits. You may use Google Drive, or any other free online storage service, to share the download link.
Network Diagnostics
If you encounter any network-related issues while playing, attach a Network Diagnostics report to the ticket
How to do this:
Download WGCheck (https://dl-support.gcdn.co/wot/ru/wgcheck/WGCheck_NA.zip).
Game Center (wgc:LS1pbnN0YWxsIC1nIFdHQ0hLLkVVLlBST0RVQ1RJT05AaHR0cHM6Ly93Z3VzLWV1LndhcmdhbWluZy5uZXQv) WGCheck installer.
Go to the [Network] tab.
Select the required game client from the drop-down menu on the left.
There is a list of game servers and their addresses in the left part of the window. Select a server and click the [Check] button.
The diagnostics check will begin. This will be indicated by a progress bar with a message.
A diagnostics check should be performed as soon as you encounter any issues. Play several battles while the diagnostics check is in progress. The longer the diagnostics check lasts, the higher the probability that the source of the issue is reflected in the report file.
You can switch the display of diagnostics data between the graph and table views. To do so, click the corresponding icon on the right.
When the report is completed, click the Report button. A file named ""login1.worldofwarships.com(XX.XX.XX).gch"" will be saved in the netreports folder, which is located inside the game client folder.
Once the report is generated, you can scale the diagnostics graphs up and down. To scale up a graph, hold the Shift key and select the required graph area by clicking and dragging the left mouse button. To scale down a graph, hold the Alt key and click the left mouse button.
Сlick the Go to Report button.
A window with the generated report file will be displayed. Attach (https://na.wargaming.net/support/en/products/wows/article/10269/) this to the ticket."
Diagnostics and computer settings,What is a mod?,"A modification (mod) is an add-on to a video game that is created, as a rule, by third-party developers or enthusiasts using an SDK supplied with the game or special programs made by the enthusiasts.
What issues might you encounter?
Unable to enter battle—the loading progress is over, but you still cannot enter battle.
Missing battle interface.
List of servers missing on the authorization screen.
FPS drops.
Unable to start the game client.
Graphical issues.
How to solve the issues?
Try launching the game in safe mode—this mode runs the game without any mods (the ""base"" game client is used).
Launching the game in safe mode will not reset your settings and will not delete any installed modifications.
To launch the game in safe mode:
Open the Wargaming Game Center.
Click the arrow in the section that is to the right of the Play button and choose the ""Launch the game without modifications"" option from the pop-up menu.
If you do not encounter the issue in safe mode, then it is related to the installed modifications and they should be removed."
Diagnostics and computer settings,How to remove modifications?,"To remove the modifications:
Close the World of Warships client.
Download the archive (https://dl-support.gcdn.co/wot/ru/Temp/WoWP_WoWS/remove_mods.zip) from our website.
Unzip the archive.
Copy the bat-file from the archive to the folder where the game is installed (for example, C:\Games\World_of_Warships) and run it.
Launch the game client and check whether the issue is still present.
If the issue still persists after the modifications have been removed, reinstall the game in accordance with the guidelines.
Wargaming Group Limited shall not be liable for the stable operation of the game client when modified files are installed."
Diagnostics and computer settings,Which Mods Are Safe?,"Mods should only be downloaded from our official hubs:

World of Warships ModStation(https://worldofwarships.com/en/content/modstation/?_gl=1*3joc7g*_gcl_au*MjEwMzk3MzIwMi4xNzE2MDgwNDUz*_ga*MTUxMjExMDkzLjE3MDgwNTk5ODY.*_ga_BWRKLL4HR5*MTcxODA5MjI3MC44LjEuMTcxODA5MjcwNC4wLjAuMjEwNjE0MTUxMg..)
World of Tanks Mod Hub(https://wgmods.net/)
All mods should follow our Fair Play Policy:

WoWS Mods Policy(https://worldofwarships.com/en/news/general-news/mods-policy/?_gl=1*3joc7g*_gcl_au*MjEwMzk3MzIwMi4xNzE2MDgwNDUz*_ga*MTUxMjExMDkzLjE3MDgwNTk5ODY.*_ga_BWRKLL4HR5*MTcxODA5MjI3MC44LjEuMTcxODA5MjcwNC4wLjAuMjEwNjE0MTUxMg..)
WoT Fair Play Policy(https://worldoftanks.com/en/news/announcements/fair-play-policy-update-0419/?_gl=1*pp7bp*_gcl_au*MjEwMzk3MzIwMi4xNzE2MDgwNDUz*_ga*MTUxMjExMDkzLjE3MDgwNTk5ODY.*_ga_X6LVGM3JP2*MTcxODA5MjI3MC42LjEuMTcxODA5MjcwNC4wLjAuMTgzMDg2NDMxMg..&_ga=2.87759313.833759212.1718092270-151211093.1708059986)"
Diagnostics and computer settings,Why are other players hearing me as too loud or distorted?,"Your microphone volume may be boosted or turned up to the maximum. Check the system settings for your microphone and lower its volume if necessary.

In some cases, problems with loudness and distortion issues can be solved by turning off the microphone boost. To do that:

Open the ""Windows sound control"" panel.
Make sure that the ""Advanced Settings"" option is selected in the ""Options"" menu.
Select ""Properties"" in the ""Options"" menu, then select ""Recording.""
Make sure the ""Show Microphone"" option is enabled, and click ""Apply.""
Under the microphone volume slider, you'll see the ""Advanced"" button. Click on it and turn off the microphone boost in the window that opens."
Diagnostics and computer settings,What system ports does voice chat use?,"By default, voice chat uses UDP ports 12000–29999, 5060, 5062, 3478, 3479."
Diagnostics and computer settings,How can I be sure that my headset is working correctly?,Check the system settings of your microphone.
Diagnostics and computer settings,"What should I do if I receive an error message saying ""SIP transaction timed out""?","Try turning off your firewall. If that helps fix the problem, open the following ports before you enable your firewall again:

Ports 12000–29999 – UDP – for voice media (RTP/RTCP).
Ports 80 and 443 – TCP – for web servers (HTTP/HTTPS).
Ports 5060 and 5062 – UDP – for voice control signals (SIP).
Ports 3478 and 3479 – UDP – to aid in setting up voice with NAT (STUN)."
Diagnostics and computer settings,"What should I do if I receive an error message saying ""Initialize failed (The underlying connection was closed: the remote name could not be resolved)""?","This error usually means that your computer is not online, or that your network connection has dropped and subsequently been re-established. To fix the problem, you need to restart the game.

Sometimes voice chat freezes after a network connection has dropped / been re-established (e.g. when switching between wireless networks). To fix the problem, exit the game, confirm a functioning network connection, and then restart."
Diagnostics and computer settings,Why is my audio quality poor?,"Poor audio quality can be caused by a low Internet connection speed or a slow processor (CPU). Run the Task Manager to check how busy your computer's resources are (for example, the processor load should be significantly lower than 100%)."
Diagnostics and computer settings,"I can't hear anything at all, or no one can hear me. What should I do?","Make sure you press the voice chat button (usually ""O"").
Check the input/output serviceability.
Make sure that your microphone and headset are plugged into the appropriate inputs.
Make sure that the sound is not muted or minimized. If this doesn't help, check the system sound settings and make sure that the sound is not muted or minimized.
Consider disabling your firewall. If this helps, open the following ports in the firewall:
* Incoming UDP: 5060, 5062, 3478.
* Outgoing TCP: 80 and 443.
* Universal UDP: 12000–17000."
Diagnostics and computer settings,"I can't hear other people, but they hear me (or vice versa). What should I do?","Make sure that your headset is working properly.

Check the microphone settings in your OS."
Diagnostics and computer settings,My voice chat keeps dropping. What can I do?,"Interruptions in voice chat can be caused by software faults in your router. Try rebooting the router.

Voice chat can function incorrectly in networks that include some types of NAT transversal or firewall components.

Note that running Xfire while playing disables voice keyboard bindings. A workaround for this is to use the middle mouse button as your talk key."
Diagnostics and computer settings,Voice chat is having trouble connecting. What should I do?,"Make sure that your router is updated and running the very latest software.

Test your voice connection with the default settings (SIP ALG enabled, SPI Firewall enabled, and special forwarding rules disabled).

If voice chat doesn't work reliably, try disabling SIP ALG first (if possible).

If voice chat still doesn't work reliably, try disabling the SPI Firewall as well (if possible).

If none of this helps, check voice chat by connecting to another router, or connect your computer directly to the cable router."
